,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
10165,,,,,6.24,11.23,20.5,7,2.2,62.0,167.6
10167,,,,,6.31,10.66,31.1,1,2.9,6.9,39.8
10225,,,,,6.27,17.5,93.6,0,7.3,30.0,105.8
10228,,,,,6.13,13.07,17.1,0,1.8,35.4,283.7
10242,,,,,6.05,16.13,21.1,1,2.1,23.7,219.1
10266,,,,,6.13,13.9,26.7,1,2.5,10.1,25.3
10267,,,,,6.11,12.85,25.6,0,2.6,11.5,65.1
10273,,,,,6.5,18.05,82.8,1,6.1,18.4,101.9
10277,,,,,6.03,11.83,9.5,0,1.2,27.6,105.7
10282,,,,,6.13,14.1,18.3,0,2.1,18.1,223.9
10343,,,,,6.2,10.38,20.6,0,2.3,39.3,108.5
10350,,,,,6.5,75.8,20.2,4,2.1,83.8,143.4
10360,,,,,6.08,47.6,48.0,0,4.8,27.6,93.8
10402,,,,,6.46,10.92,12.7,0,1.5,18.2,79.1
10417,,,,,6.47,10.32,27.2,0,2.8,13.8,39.8
10419,,,,,6.05,10.97,32.4,0,3.1,23.9,412.4
10483,,,,,6.29,83.9,225.4,1,15.3,40.5,101.7
10490,,,,,6.4,14.85,29.0,0,2.7,12.5,38.5
10491,,,,,6.5,95.2,82.3,0,7.5,36.7,116.2
10499,,,,,6.4,12.42,17.3,0,1.7,28.7,107.7
10506,,,,,6.33,99.4,148.8,1,12.4,38.2,596.4
10519,,,,,6.04,30.9,13.9,0,1.8,10.1,113.4
10557,,,,,6.11,58.4,40.0,0,3.8,20.4,629.9
10559,,,,,6.25,27.8,18.1,1,2.2,30.0,7776.2
10580,,,,,6.02,15.79,18.7,0,1.9,56.8,175.4
10592,,,,,6.33,17.87,25.9,0,2.4,22.4,595.4
10593,,,,,6.4,11.63,8.8,0,0.9,9.2,142.2
10605,,,,,6.1,13.0,7.3,0,1.0,16.2,192.2
10608,,,,,6.3,16.73,12.4,1,1.4,34.8,237.1
10609,,,,,6.01,13.9,28.0,0,2.7,28.3,141.8
10610,,,,,6.23,96.2,14.6,0,1.4,5.5,185.5
10623,,,,,6.17,12.26,10.9,0,1.3,80.9,6798.4
10644,,,,,6.18,16.79,10.3,1,1.1,23.3,278.7
10647,,,,,6.32,11.65,14.7,0,1.6,34.5,204.7
10675,,,,,6.42,14.15,15.6,0,1.7,24.0,268.5
10711,,,,,6.4,49.4,25.6,0,2.8,47.0,2787.8
10763,,,,,6.39,23.0,11.5,0,1.3,8.8,1182.7
10770,,,,,6.04,17.81,4.5,0,0.6,16.1,43.1
10825,,,,,6.45,14.29,11.9,0,1.5,49.8,203.7
10843,,,,,6.08,30.4,8.5,0,1.3,9.6,39.9
10844,,,,,6.25,10.95,24.3,0,2.7,14.3,128.4
10920,,,,,6.04,39.7,17.3,0,2.4,61.9,192.9
10965,,,,,6.5,16.34,18.7,0,2.1,6.9,287.9
10972,,,,,6.44,23.7,7.4,0,1.0,74.3,151.3
10982,,,,,6.14,23.6,27.7,0,2.6,15.7,368.6
10983,,,,,6.07,13.78,20.0,0,2.2,6.3,448.2
11008,,,,,6.41,41.2,29.4,3,3.3,72.7,273.0
11025,,,,,6.1,38.6,32.5,1,3.4,50.8,202.2
11050,,,,,6.38,36.3,39.3,1,4.4,5.1,75.0
11126,,,,,6.35,11.58,13.1,0,1.3,81.6,729.6
11167,,,,,6.37,35.8,14.5,1,1.6,36.8,987.4
11204,,,,,6.29,50.5,28.3,0,3.3,47.7,71.4
11205,,,,,6.31,54.1,33.0,2,4.0,115.2,325.0
11209,,,,,6.05,25.9,20.7,0,2.7,68.0,157.2
11215,,,,,6.29,11.22,11.7,0,1.6,47.6,221.6
11216,,,,,6.28,30.1,30.9,1,2.5,5.1,142.2
11220,,,,,6.35,31.5,19.0,0,2.4,43.2,253.3
11227,,,,,6.49,12.39,7.0,0,0.9,16.4,39.2
11232,,,,,6.38,11.55,11.2,1,1.3,11.6,210.2
11256,,,,,6.36,17.2,17.8,0,1.9,10.9,647.5
11309,,,,,6.28,21.5,13.0,0,1.4,15.4,92.3
11323,,,,,6.12,30.0,9.7,0,1.1,7.0,50.4
11339,,,,,6.42,11.12,10.2,0,1.3,21.8,51.6
11345,,,,,6.1,11.13,14.7,0,1.7,34.4,255.6
11348,,,,,6.37,25.0,45.1,0,4.0,54.9,450.5
11367,,,,,6.45,25.0,10.8,0,1.5,27.0,77.6
11370,,,,,6.31,46.7,23.2,0,3.2,24.3,130.2
11382,,,,,6.06,44.3,15.8,0,2.4,20.9,46.0
11384,,,,,6.37,12.27,38.3,0,4.1,16.7,446.8
11386,,,,,6.15,25.4,32.2,1,3.4,59.6,250.6
11389,,,,,6.11,51.0,25.3,0,3.2,24.6,62.7
11421,,,,,6.22,18.25,9.1,1,1.2,33.7,100.3
11423,,,,,6.0,47.3,32.8,1,3.3,5.4,50.4
11437,,,,,6.33,63.9,17.6,0,2.9,66.3,91.5
11445,,,,,6.06,54.4,11.4,0,1.8,73.4,330.8
11451,,,,,6.29,12.94,11.1,0,1.6,21.0,113.7
11456,,,,,6.07,20.6,10.1,0,1.5,33.3,95.4
11459,,,,,6.5,11.18,22.6,0,2.5,55.2,134.3
11483,,,,,6.43,10.97,13.1,0,1.7,41.9,95.7
11485,,,,,6.14,23.2,12.3,0,1.4,12.2,152.9
11514,,,,,6.12,99.1,109.9,3,9.0,44.3,285.8
11545,,,,,6.17,66.8,35.4,2,4.5,68.2,146.9
11546,,,,,6.39,23.6,30.5,0,3.3,32.2,137.1
11557,,,,,6.36,43.3,44.6,0,4.9,88.3,703.0
11573,,,,,6.2,27.2,30.7,1,3.4,36.2,85.3
11574,,,,,6.49,92.4,31.9,6,4.1,57.3,301.7
11579,,,,,6.41,98.5,49.1,5,5.5,66.5,180.0
11590,,,,,6.22,48.4,37.9,0,4.4,15.3,82.4
11647,,,,,6.4,18.91,27.5,0,3.2,32.3,277.9
11696,,,,,6.39,27.0,9.2,0,1.2,6.5,123.9
11700,,,,,6.33,24.0,17.1,1,2.0,33.1,307.8
11710,,,,,6.39,20.1,17.1,1,2.2,13.3,315.3
11716,,,,,6.15,10.92,22.9,0,2.5,19.7,186.6
11718,,,,,6.01,11.07,14.5,0,1.8,23.0,307.6
11762,,,,,6.16,12.09,14.3,1,1.8,91.5,281.8
11768,,,,,6.28,15.42,12.0,1,1.5,30.1,185.8
11821,,,,,6.01,10.94,24.9,1,2.6,15.2,114.2
11825,,,,,6.36,51.1,29.2,2,3.4,17.0,215.1
11847,,,,,6.13,29.8,30.2,2,3.5,31.7,142.3
11856,,,,,6.08,12.17,20.2,1,2.3,24.9,142.9
11865,,,,,6.17,12.01,10.8,1,1.5,65.9,210.0
11869,,,,,6.24,11.54,6.1,0,0.8,39.0,90.6
11884,,,,,6.02,24.9,44.0,1,4.6,163.2,844.1
11901,,,,,6.16,10.53,21.2,0,2.2,21.2,236.1
11936,,,,,6.17,13.4,19.6,0,1.9,37.8,301.7
11939,,,,,6.26,15.78,30.4,1,2.9,10.8,232.2
11983,,,,,6.11,11.87,14.2,0,1.7,19.0,89.2
11998,,,,,6.42,10.09,10.1,0,1.2,29.5,91.0
12002,,,,,6.19,15.55,14.7,0,1.8,20.2,120.8
12010,,,,,6.32,30.9,21.1,1,2.6,133.3,386.6
12049,,,,,6.39,139.4,220.6,3,16.2,21.4,168.3
12054,,,,,6.11,50.3,39.2,1,4.2,54.0,228.4
12074,,,,,6.36,21.4,60.0,0,5.4,72.3,756.8
12093,,,,,6.08,13.27,6.2,1,0.8,31.7,248.1
12126,,,,,6.37,14.62,9.8,0,1.2,43.3,154.0
12132,,,,,6.01,30.2,57.4,2,6.6,18.6,231.5
12137,,,,,6.15,11.96,13.9,0,1.7,24.2,54.1
12146,,,,,6.34,46.8,26.8,4,2.9,60.8,384.8
12197,,,,,6.35,18.23,15.2,0,1.9,89.6,577.0
12206,,,,,6.45,24.2,23.2,1,2.6,28.7,138.9
12208,,,,,6.05,27.0,16.2,0,2.2,30.6,139.2
12212,,,,,6.21,18.11,37.8,1,4.3,32.3,89.5
12216,,,,,6.45,18.72,11.3,1,1.4,44.3,184.9
12227,,,,,6.14,39.1,36.4,0,4.3,30.7,130.6
12231,,,,,6.14,10.63,27.1,1,3.0,5.7,131.0
12244,,,,,6.1,51.4,47.4,0,5.1,7.9,255.8
12245,,,,,6.14,34.1,24.2,0,3.0,180.8,660.0
12250,,,,,6.08,12.74,14.1,0,1.8,88.4,95.3
12252,,,,,6.0,12.3,20.0,0,2.4,32.1,225.8
12291,,,,,6.28,12.96,32.9,2,3.3,51.9,336.6
12299,,,,,6.0,87.2,42.9,1,5.3,22.3,154.2
12306,,,,,6.46,43.9,24.5,1,2.9,82.9,407.1
12307,,,,,6.5,29.1,25.5,1,3.3,45.6,287.2
12334,,,,,6.21,84.1,30.4,3,3.9,76.5,423.9
12355,,,,,6.26,10.24,25.3,1,1.7,7.3,91.0
12363,,,,,6.07,74.5,47.4,0,4.9,31.9,290.2
12366,,,,,6.12,35.8,40.4,1,4.5,22.2,140.7
12398,,,,,6.19,22.5,45.2,1,4.9,26.8,79.7
12410,,,,,6.07,10.28,38.6,1,4.5,50.5,241.6
12413,,,,,6.15,14.65,9.5,1,1.2,36.7,127.8
12414,,,,,6.24,10.05,8.2,0,1.1,29.7,97.9
12415,,,,,6.1,11.8,10.3,0,1.3,50.7,95.2
12426,,,,,6.24,18.98,15.5,0,1.8,23.9,91.4
12427,,,,,6.28,11.91,11.8,0,1.5,22.1,89.6
12429,,,,,6.27,18.02,12.7,0,1.8,39.5,147.8
12431,,,,,6.25,10.36,12.1,0,1.5,22.2,103.5
