,Coarse,Clay,Sand,Silt,pH(H2O),EC,OC,CaCO3,N,P,K
3929,4.0,4.0,74.0,22.0,5.77,10.04,22.2,1,1.9,138.8,163.9
3930,8.0,21.0,12.0,67.0,6.88,10.75,11.3,0,1.3,55.9,111.6
3932,5.0,15.0,33.0,52.0,6.46,14.14,9.7,0,1.2,32.1,123.0
3936,4.0,6.0,68.0,26.0,6.28,30.4,20.9,0,2.2,102.2,549.2
3939,2.0,6.0,66.0,29.0,5.64,13.27,20.1,0,1.9,22.2,112.5
3941,4.0,9.0,51.0,40.0,5.26,20.6,14.9,0,1.5,82.3,218.6
3942,19.0,22.0,11.0,67.0,6.83,14.46,10.0,0,1.3,39.2,136.6
3945,9.0,8.0,59.0,32.0,5.08,33.4,14.5,1,1.7,77.7,49.4
3947,12.0,19.0,16.0,64.0,5.62,14.68,13.3,0,1.6,34.0,297.2
3950,12.0,25.0,9.0,66.0,5.13,10.08,18.6,0,2.0,6.9,79.0
3951,28.0,37.0,10.0,53.0,5.96,31.8,38.0,0,4.2,37.9,100.9
3952,5.0,14.0,53.0,33.0,5.3,15.36,27.9,0,2.9,54.4,75.8
3953,18.0,26.0,15.0,59.0,6.83,21.3,16.7,1,2.1,82.8,297.0
3959,6.0,14.0,30.0,56.0,6.3,22.7,8.9,0,1.1,45.6,95.7
3962,3.0,6.0,66.0,27.0,6.21,13.26,16.6,0,1.7,85.1,54.5
3963,3.0,9.0,67.0,24.0,5.62,27.3,15.5,0,1.6,126.8,252.3
3964,8.0,12.0,26.0,62.0,5.47,12.45,34.1,0,3.7,42.6,100.0
3965,4.0,7.0,64.0,28.0,5.96,14.43,13.2,0,1.3,63.5,48.1
3966,3.0,3.0,88.0,9.0,6.19,20.5,13.8,0,1.5,118.6,237.5
3967,10.0,17.0,22.0,61.0,6.85,28.8,16.6,0,1.8,153.2,521.8
3968,21.0,22.0,15.0,62.0,5.92,24.8,31.9,1,3.7,71.9,126.3
